/////////////////////
/// CORE ITEM DATA //
/////////////////////

//Start by parsing this in your map/dictionary to parse the other data.
//ID|Item Name|Rarity|Properties|Category|Base Color|Overlay Color|Hits to break|Growtime in seconds|Clothing Type (None if its not a clothing, specified in category)

0|Blank|1|NoSeed, Dropless, Beta, Mod, Untradable|Foreground_Block|690000|690000|4|31|None
1|Blank Seed|1|NoSeed, Mod|Seed|000000|000000|20|0|None
2|Dirt|1|0|Foreground_Block|603913|A67C52|3|31|None
3|Dirt Seed|1|0|Seed|000000|000000|20|0|None
4|Lava|1|0|Pain_Block|FF2811|FFBB2A|4|31|None
5|Lava Seed|1|0|Seed|000000|000000|20|0|None
6|Main Door|1|NoSeed, Dropless, Mod|Main_Door|DBDBDB|FFD11D|5|31|None
7|Main Door Seed|1|NoSeed, Mod|Seed|000000|000000|20|0|None
8|Bedrock|1|NoSeed, Dropless, Mod|Bedrock|89D959|E93B5A|4|31|None
9|Bedrock Seed|1|NoSeed, Mod|Seed|000000|000000|20|0|None
10|Rock|1|0|Foreground_Block|808080|C8C8C8|10|31|None
11|Rock Seed|1|0|Seed|000000|000000|20|0|None
12|Door|2|Wrenchable|Door|9A6B38|FFD11D|5|68|None
13|Door Seed|2|0|Seed|000000|000000|20|0|None
14|Cave Background|1|0|Background_Block|1C150C|4B3717|3|31|None
15|Cave Background Seed|1|0|Seed|000000|000000|20|0|None
16|Grass|2|0|Foreground_Block|499D2D|87D959|2|68|None
17|Grass Seed|2|0|Seed|000000|000000|20|0|None
18|Fist|999|Untradable|Fist|F01F3E|ED0AB6|4|3600|None
19|Fist Seed|999|0|Seed|000000|000000|20|0|None
20|Sign|2|Wrenchable|Sign|9D8D45|CCBD74|5|68|None
21|Sign Seed|2|0|Seed|000000|000000|20|0|None
22|Daisy|3|0|Foreground_Block|50FF50|FFFF00|3|117|None
23|Daisy Seed|3|0|Seed|000000|000000|20|0|None
24|Pointy Sign|4|MultiFacing, Wrenchable|Sign|9D8D45|CCBD74|4|184|None
25|Pointy Sign Seed|4|0|Seed|000000|000000|20|0|None
26|Crappy Sign|3|MultiFacing, Wrenchable|Sign|61442B|C0A892|4|117|None
27|Crappy Sign Seed|3|0|Seed|000000|000000|20|0|None
28|Danger Sign|5|MultiFacing, Wrenchable|Sign|61442B|C0A892|4|275|None
29|Danger Sign Seed|5|0|Seed|000000|000000|20|0|None
30|Dungeon Door|8|Wrenchable|Door|9A6B38|C2C2C2|4|752|None
31|Dungeon Door Seed|8|0|Seed|000000|000000|20|0|None
32|Wrench|999|Untradable|Wrench|37BA86|B05704|4|3600|None
33|Wrench Seed|999|0|Seed|000000|000000|20|0|None
34|Shades|6|NoSeed|Clothing|383838|CBCBCB|0|396|Face
35|Shades Seed|6|NoSeed|Seed|000000|000000|20|0|None
36|Green Shirt|7|NoSeed|Clothing|518C36|6AC541|0|553|Shirt
37|Green Shirt Seed|7|NoSeed|Seed|000000|000000|20|0|None
38|Tuxedo|7|NoSeed|Clothing|39454F|FFFFFF|0|553|Shirt
39|Tuxedo Seed|7|NoSeed|Seed|000000|000000|20|0|None
40|Brown Shoes|5|NoSeed|Clothing|5E442E|765436|0|275|Feet
41|Brown Shoes Seed|5|NoSeed|Seed|000000|000000|20|0|None
42|Boots|5|NoSeed|Clothing|3B3B3B|484848|0|275|Feet
43|Boots Seed|5|NoSeed|Seed|000000|000000|20|0|None
44|Red Hair|6|NoSeed|Clothing|FF1E07|FC6A00|0|396|Hair
45|Red Hair Seed|6|NoSeed|Seed|000000|000000|20|0|None
46|Baseball Cap|13|NoSeed|Clothing|91FF19|FFEE5D|0|2587|Hat
47|Baseball Cap Seed|13|NoSeed|Seed|000000|000000|20|0|None
48|Jeans|6|NoSeed|Clothing|3F5D87|765436|0|396|Pants
49|Jeans Seed|6|NoSeed|Seed|000000|000000|20|0|None
50|Sexy Boxers|18|NoSeed|Clothing|FFFFFF|FF8781|0|6372|Pants
51|Sexy Boxers Seed|18|NoSeed|Seed|000000|000000|20|0|None
52|Wooden Background|4|0|Background_Block|97724B|AC7F50|3|184|None
53|Wooden Background Seed|4|0|Seed|000000|000000|20|0|None
54|Window|6|0|Background_Block|86D7EC|DBE2E3|2|396|None
55|Window Seed|6|0|Seed|000000|000000|20|0|None
56|Glass Pane|2|0|Background_Block|86D7EC|FFFFFF|2|68|None
57|Glass Pane Seed|2|0|Seed|000000|000000|20|0|None
58|Wooden Window|10|0|Background_Block|7CD7EC|97724B|2|1300|None
59|Wooden Window Seed|10|0|Seed|000000|000000|20|0|None
60|Portcullis|16|Wrenchable|Gateway|BBBBBB|E2E2E2|10|4576|None
61|Portcullis Seed|16|0|Seed|000000|000000|20|0|None
62|Boombox|39|MultiFacing, Wrenchable|Toggleable_Foreground|6F6F6F|3C6590|10|60489|None
63|Boombox Seed|39|0|Seed|000000|000000|20|0|None
64|Olde Timey Radio|15|MultiFacing, Wrenchable|Toggleable_Foreground|C65D24|FFF152|10|3825|None
65|Olde Timey Radio Seed|15|0|Seed|000000|000000|20|0|None
66|Top Hat|7|NoSeed|Clothing|2B2B2B|959595|0|553|Hat
67|Top Hat Seed|7|NoSeed|Seed|000000|000000|20|0|None
68|Brown Hair|5|NoSeed|Clothing|80572C|9D6A33|0|275|Hair
69|Brown Hair Seed|5|NoSeed|Seed|000000|000000|20|0|None
70|Spikey Hair|14|NoSeed|Clothing|F1DB1D|FFE539|0|3164|Hair
71|Spikey Hair Seed|14|NoSeed|Seed|000000|000000|20|0|None
72|Afro|13|NoSeed|Clothing|2D2D2D|1D1D1D|0|2587|Hair
73|Afro Seed|13|NoSeed|Seed|000000|000000|20|0|None
74|Ski Cap|18|NoSeed|Clothing|3A769E|4690C0|0|6372|Hat
75|Ski Cap Seed|18|NoSeed|Seed|000000|000000|20|0|None
